GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
2,2,0,1,24.015,13.519,-6.35E-27,0.98861,14.765,-9.34E-27,5.3987,3.0391,-1.35E-27,3.3192,-2.06E-27,8.2981,-3.64E-27,-2.09E-27,7.3706,2.3356,6.60E-32,9.0631,5.1018,-5.43E-27,-2.26E-27,-8.52E-32,-3.20E-27,2.7861,-1.66E-32,-3.43E-27
3,2,0,1,27.193,9.378,2.17E-25,0.47524,16.945,3.21E-25,4.2935,1.4807,3.22E-26,2.6755,4.96E-26,6.6887,1.44E-25,5.03E-26,9.6975,1.1534,-1.80E-30,12.086,4.168,2.17E-25,9.01E-26,-1.86E-31,7.82E-26,3.7656,-3.67E-32,1.39E-25
4,2,0,1,28.918,7.0973,3.32E-25,0.27194,18.157,4.92E-25,3.4786,0.85373,3.72E-26,2.1842,5.76E-26,5.4604,2.35E-25,5.86E-26,11.124,0.67006,-2.05E-30,13.97,3.4285,3.58E-25,1.49E-25,-1.11E-30,9.18E-26,4.3857,-3.03E-31,2.31E-25
0,3,0,1,4.48E-22,47.173,0,4.8428,4.13E-22,0,2.12E-22,22.304,0,1.95E-22,0,4.88E-22,0,0,6.07E-43,25.68,0,7.05E-43,4.50E-22,0,0,0,0,4.25E-43,0,0
0.25,3,0,1,4.2943,40.276,2.35E-17,3.5485,3.9985,5.41E-17,1.7614,16.52,9.51E-18,1.6401,2.21E-17,4.1002,2.31E-18,2.21E-17,0.21859,19.228,6.38E-36,0.40707,3.8178,5.25E-18,2.17E-18,2.97E-35,5.15E-17,0.18951,3.45E-35,5.02E-18
1,3,0,1,12.965,26.039,-4.45E-28,1.4959,12.361,-1.03E-27,3.5508,7.1312,-1.17E-28,3.3854,-2.78E-28,8.4634,-1.36E-28,-2.80E-28,2.1071,8.4987,-1.06E-45,4.0178,8.0691,-3.17E-28,-1.31E-28,-2.91E-45,-6.66E-28,1.9153,-2.25E-45,-3.11E-28
2,3,0,1,18.7,16.361,-5.75E-25,0.59315,18.135,-1.33E-24,3.2873,2.8762,-9.53E-26,3.188,-2.29E-25,7.9701,-2.60E-25,-2.32E-25,4.5546,3.4867,-4.28E-31,8.8342,7.7295,-6.14E-25,-2.54E-25,-1.88E-31,-5.61E-25,4.2837,-5.74E-32,-6.11E-25
3,3,0,1,21.5,11.549,3.78E-25,0.29602,21.035,8.75E-25,2.6958,1.4481,4.42E-26,2.6375,1.07E-25,6.5937,1.98E-25,1.09E-25,6.1375,1.771,-2.43E-32,12.009,6.4511,4.73E-25,1.96E-25,-1.00E-32,2.65E-25,5.8748,-1.99E-33,4.75E-25
4,3,0,1,23.071,8.8247,-7.68E-23,0.17296,22.686,-1.78E-22,2.2232,0.85038,-6.84E-24,2.1861,-1.66E-23,5.4653,-4.34E-23,-1.69E-23,7.144,1.0453,9.54E-30,14.05,5.3741,-1.04E-22,-4.31E-23,1.07E-30,-4.15E-23,6.9077,3.33E-31,-1.05E-22
0,4,0,1,-1.14E-25,49.455,0,2.8168,-1.48E-25,0,-4.21E-26,18.231,0,-5.45E-26,0,-1.36E-25,0,0,-7.43E-47,29.498,0,-7.28E-48,-1.76E-25,0,0,0,0,8.49E-47,0,0
