GL1,TTG1,TRY,GL3,G3-G1,G3-T1,G3-TRY,G3-G3,G3-G1-T1,G3-T1-TRY,G1-G3-G3,T1-G3-G3,TRY-G3-G3,T1-G1-G3-G3,TRY-T1-G3-G3,G1-G3-G3-T1,G1-G3-G3-TRY,T1-G3-G3-TRY,G1-G3-G3-G1,T1-G3-G3-T1,TRY-G3-G3-TRY,G1-T1-G3-G3-G1,G1-T1-G3-G3-T1,G1-G3-G3-T1-TRY,G1-T1-G3-G3-TRY,T1-TRY-G3-G3-TRY,TRY-T1-G3-G3-T1,G1-T1-G3-G3-T1-G1,T1-TRY-G3-G3-TRY-T1,G1-T1-G3-G3-T1-TRY
2,1,1,1,29.616,7.5361,3.6907,1.4212,8.4524,2.5201,7.8802,1.9977,0.95094,2.2251,0.66163,5.5123,2.6123,0.67014,10.975,0.7044,0.15972,6.1854,1.5623,1.7659,0.74,0.22375,0.47107,0.87264,0.078828,0.51406
3,1,1,1,33.617,5.3328,2.6411,0.69937,9.7854,1.8348,6.3764,1.0055,0.48075,1.8409,0.34094,4.5677,2.1736,0.34678,14.578,0.36289,0.083108,8.4051,1.3234,1.5034,0.62956,0.11896,0.24935,1.2129,0.042907,0.44762
4,1,1,1,35.848,4.086,2.0378,0.40645,10.555,1.4301,5.2307,0.59225,0.28378,1.5299,0.2034,3.8004,1.8127,0.20754,16.863,0.21667,0.049902,9.8537,1.1153,1.2708,0.53191,0.072325,0.15123,1.441,0.026455,0.38339
0,2,1,1,-6.34E-18,31.179,6.3415,5.5373,-3.65E-18,8.9684,-3.13E-18,15.662,3.1854,-1.78E-18,4.505,-4.41E-18,-8.87E-19,4.505,2.87E-38,11.075,0.45813,6.66E-38,-2.51E-18,-1.22E-18,-5.07E-19,1.2958,6.3711,1.83E-38,0.91628,-7.10E-19
0.25,2,1,1,4.9867,26.775,5.5625,4.0658,2.9092,7.9232,2.1468,11.679,2.4061,1.2384,3.4511,3.0689,0.62539,3.4572,0.28774,8.3896,0.35621,0.33071,1.7743,0.87095,0.36314,1.0226,4.964,0.095125,0.73429,0.51645
1,2,1,1,14.937,17.836,3.8951,1.7742,8.9834,5.6346,4.3922,5.2715,1.1197,2.62,1.6553,6.4985,1.3648,1.6662,2.7475,3.9204,0.17718,3.268,3.8854,1.9663,0.81917,0.5254,2.4738,0.97271,0.39032,1.2057
2,2,1,1,21.687,11.655,2.6511,0.74483,13.339,3.8793,4.2267,2.2697,0.49401,2.5844,0.74644,6.4185,1.3818,0.75491,6.0364,1.7326,0.082421,7.3659,3.9339,2.0423,0.84996,0.25037,1.1497,2.2489,0.19089,1.284
3,2,1,1,25.157,8.4425,1.9661,0.38715,15.661,2.895,3.5765,1.1961,0.26383,2.2163,0.40318,5.5097,1.2031,0.40914,8.2959,0.92621,0.045353,10.265,3.4222,1.803,0.74986,0.13958,0.63194,3.1775,0.10797,1.1491
4,2,1,1,27.184,6.5559,1.5493,0.23227,17.045,2.29,3.014,0.72363,0.16085,1.8829,0.24739,4.6843,1.0317,0.25168,9.8075,0.56515,0.028161,12.237,2.9328,1.5592,0.64817,0.087353,0.39209,3.8197,0.068171,1.0019
0,3,1,1,-5.43E-27,35.033,4.3759,2.793,-5.06E-27,10.077,-1.96E-27,12.863,1.6067,-1.81E-27,3.7,-4.50E-27,-5.54E-28,3.7,-2.23E-38,14.811,0.23108,-3.81E-38,-4.17E-27,-1.24E-27,-5.16E-28,1.0642,8.5202,-1.69E-38,1.2254,-1.18E-27
0.25,3,1,1,3.676,30.501,3.9134,2.1127,3.4517,9.0155,1.1672,9.8216,1.2483,1.0889,2.8984,2.7051,0.33847,2.9029,0.16374,11.417,0.18455,0.3045,2.5272,0.76776,0.31843,0.85747,6.7457,0.14166,0.9964,0.73476
1,3,1,1,11.33,20.995,2.8669,0.99199,10.839,6.6108,2.5245,4.708,0.62319,2.4035,1.473,5.9741,0.77868,1.4813,1.6242,5.5902,0.098211,3.0844,5.6965,1.8031,0.74726,0.4653,3.5128,1.4653,0.55192,1.7609
2,3,1,1,16.844,14.098,2.0255,0.44305,16.344,4.6749,2.551,2.1367,0.29218,2.4667,0.6999,6.1362,0.82711,0.70663,3.6988,2.5795,0.048508,7.1385,5.943,1.9461,0.80583,0.23332,1.7031,3.4462,0.2813,1.9305
3,3,1,1,19.815,10.37,1.535,0.23856,19.377,3.5447,2.2224,1.1608,0.16166,2.1675,0.38999,5.3954,0.7416,0.39487,5.2014,1.4144,0.027666,10.129,5.2703,1.7606,0.72859,0.1342,0.96055,4.9337,0.16332,1.7619
4,3,1,1,21.602,8.1268,1.2258,0.14617,21.224,2.8319,1.907,0.71521,0.1007,1.8697,0.24392,4.6565,0.64788,0.2475,6.2415,0.87644,0.017564,12.222,4.5724,1.5466,0.63979,0.085639,0.6056,5.9859,0.10484,1.5561
0,4,1,1,1.26E-30,37.14,3.3011,1.6428,1.65E-30,10.683,3.55E-31,10.633,0.94507,4.61E-31,3.0583,1.15E-30,1.00E-31,3.0583,6.22E-59,17.204,0.13592,6.35E-59,1.49E-30,3.18E-31,1.31E-31,0.87968,9.8969,1.07E-59,1.4233,4.23E-31
0.25,4,1,1,2.8873,32.611,2.9844,1.2657,3.786,9.6311,0.7198,8.2423,0.74713,0.94,2.4304,2.3389,0.20823,2.4336,0.10385,13.42,0.11034,0.2705,3.0575,0.66451,0.27449,0.71819,7.9214,0.17621,1.1689,0.88868
1,4,1,1,9.0563,22.916,2.2438,0.62221,12.022,7.1983,1.6123,4.1076,0.38971,2.1339,1.2823,5.3114,0.49519,1.2883,1.0559,6.7824,0.061234,2.7884,7.0373,1.6018,0.66119,0.40365,4.25,1.8418,0.66585,2.1706
2,4,1,1,13.67,15.666,1.6217,0.28927,18.32,5.1793,1.6819,1.9303,0.19004,2.2492,0.63078,5.6012,0.54258,0.63588,2.4625,3.2231,0.031435,6.5739,7.4988,1.7739,0.7317,0.2093,2.1207,4.3891,0.34903,2.429
3,4,1,1,16.233,11.645,1.246,0.15945,21.871,3.9697,1.4939,1.0706,0.10765,2.0095,0.359,5.0067,0.49607,0.36279,3.5168,1.7991,0.018358,9.4469,6.7423,1.6318,0.67277,0.12294,1.2178,6.3462,0.20635,2.2479
4,4,1,1,17.805,9.1853,1.0037,0.099116,24.067,3.1933,1.2978,0.66807,0.068047,1.7521,0.22756,4.3669,0.4389,0.23038,4.2639,1.1272,0.011832,11.498,5.9021,1.4492,0.59732,0.079527,0.77665,7.7536,0.13404,2.0039
0,0,2,1,0,1.03E-22,32.482,26.321,0,6.19E-23,0,1.00E-22,31.67,0,6.03E-23,0,0,6.03E-23,0,2.12E-41,9.5266,0,0,0,0,3.63E-23,1.74E-41,0,9.27E-42,0
0.25,0,2,1,10.428,0,26.743,18.19,0,0,8.7616,0,22.471,0,0,0,5.4116,0,1.055,0,6.9395,0,0,0,0,0,0,0,0,0
1,0,2,1,29.042,0,16.24,6.851,0,0,16.047,0,8.9736,0,0,0,10.51,0,9.397,0,2.9385,0,0,0,0,0,0,0,0,0
2,0,2,1,39.916,-6.07E-18,9.8949,2.5437,-6.90E-18,-4.11E-18,14.032,-2.10E-18,3.4784,-2.34E-18,-1.42E-18,-5.72E-18,9.5941,-1.44E-18,19.351,4.38E-37,1.1892,-6.44E-18,9.65E-37,-3.77E-18,-1.60E-18,-9.82E-19,5.99E-37,5.38E-37,2.05E-37,6.51E-37
3,0,2,1,44.913,-5.39E-18,6.9108,1.2358,-9.99E-18,-3.73E-18,11.232,-1.32E-18,1.7283,-2.43E-18,-9.14E-19,-5.96E-18,7.8543,-9.30E-19,25.522,3.59E-37,0.60428,-1.10E-17,1.30E-36,-4.00E-18,-1.70E-18,-6.46E-19,5.01E-37,1.19E-36,1.75E-37,8.97E-37
4,0,2,1,47.644,0,5.2574,0.71277,0,0,9.1525,0,1.0099,0,0,0,6.4842,0,29.381,0,0.35775,0,0,0,0,0,0,0,0,0
0,0.25,2,1,0,5.9519,26.968,19.291,0,3.5807,0,5.123,23.212,0,3.0821,0,0,3.0821,0,0.34011,6.9824,0,0,0,0,1.8542,0.40923,0,0.1231,0
0.25,0.25,2,1,9.1152,5.021,22.518,13.526,0.53595,3.0931,6.7314,3.7201,16.695,0.3734,2.2933,0.9064,4.1445,2.2969,0.8432,0.25613,5.152,0.093038,0.050804,0.54053,0.22931,1.4168,0.31611,0.0025775,0.097527,0.030975
1,0.25,2,1,25.82,3.2344,14.157,5.3001,1.6193,2.1018,12.671,1.5787,6.9262,0.76132,1.0268,1.8562,8.2567,1.0336,7.6094,0.11817,2.2637,0.91068,0.11268,1.1693,0.49548,0.67402,0.1544,0.027354,0.050425,0.072645
2,0.25,2,1,35.994,2.0696,8.8843,2.0436,2.3718,1.4003,11.393,0.64721,2.7864,0.72789,0.43718,1.7832,7.7453,0.44269,15.926,0.051675,0.95071,2.0295,0.11505,1.1692,0.49471,0.30074,0.070428,0.064883,0.024,0.07731
3,0.25,2,1,40.844,1.4851,6.3084,1.0149,2.7647,1.0272,9.28,0.33251,1.4153,0.61322,0.22879,1.5074,6.4535,0.23276,21.255,0.027503,0.49413,2.804,0.10053,1.0092,0.42653,0.16152,0.038319,0.092758,0.013357,0.069042
4,0.25,2,1,43.561,1.148,4.846,0.59301,2.9965,0.80463,7.6442,0.19837,0.83795,0.51555,0.13784,1.2705,5.3878,0.14075,24.668,0.016761,0.29658,3.3231,0.086412,0.86071,0.36353,0.098868,0.02365,0.11222,0.0083543,0.060112
0,1,2,1,-8.17E-17,17.098,16.643,8.3344,-2.12E-17,10.286,-4.82E-17,10.302,10.028,-1.20E-17,6.198,-2.94E-17,-2.88E-17,6.198,-3.60E-31,3.1836,3.0166,-3.94E-31,-7.37E-18,-1.71E-17,-7.18E-18,3.7289,3.8307,-3.33E-31,1.1523,-4.38E-18
0.25,1,2,1,6.3581,14.722,14.385,6.0843,1.6806,9.0582,3.2734,7.7016,7.4959,0.83549,4.7382,2.043,1.9999,4.7464,0.44933,2.4396,2.3094,0.22784,0.52508,1.214,0.51116,2.9223,3.0053,0.028968,0.92539,0.31907
1,1,2,1,18.781,9.9497,9.8189,2.6523,5.1849,6.4427,6.6524,3.5386,3.4457,1.7893,2.2873,4.3875,4.2821,2.3029,4.2315,1.1846,1.1207,2.2647,1.1884,2.7441,1.1541,1.4935,1.5388,0.30383,0.49951,0.76051
2,1,2,1,27.131,6.6254,6.5989,1.1256,7.7406,4.4685,6.4352,1.5638,1.5234,1.8014,1.0488,4.432,4.315,1.0616,9.282,0.54637,0.51709,5.1778,1.2491,2.8834,1.2108,0.71686,0.73948,0.72381,0.25016,0.83232
3,1,2,1,31.454,4.8617,4.8709,0.59086,9.1392,3.3572,5.4827,0.83984,0.81787,1.5693,0.57428,3.8709,3.762,0.58357,12.797,0.30055,0.28441,7.3063,1.1152,2.5739,1.0796,0.40307,0.41611,1.0451,0.14408,0.76011
4,1,2,1,34.003,3.8075,3.8298,0.35697,9.9902,2.6686,4.6458,0.51467,0.50084,1.3481,0.35582,3.3315,3.2332,0.36266,15.181,0.18691,0.17678,8.7924,0.97271,2.2447,0.94082,0.25393,0.26232,1.2756,0.092137,0.67222
0,2,2,1,9.99E-21,24.028,10.222,3.4309,5.81E-21,14.456,3.92E-21,9.704,4.1282,2.23E-21,5.8381,5.49E-21,2.33E-21,5.8381,-3.55E-32,6.8617,1.2418,-6.13E-32,3.14E-21,3.19E-21,1.33E-21,3.5123,8.2562,-5.54E-32,2.4835,1.87E-21
0.25,2,2,1,4.3225,21.064,9.0972,2.609,2.5426,12.943,1.4997,7.4803,3.2083,0.86599,4.5936,2.1318,0.90986,4.6013,0.22143,5.3649,0.98682,0.25404,1.2362,1.2641,0.52796,2.8281,6.5969,0.073003,2.0276,0.74938
1,2,2,1,13.27,14.852,6.6457,1.2592,8.0044,9.5826,3.2903,3.7207,1.6268,1.9572,2.3928,4.8254,2.0956,2.4076,2.1916,2.7547,0.52667,2.5936,2.8828,3.0021,1.2527,1.554,3.5595,0.76866,1.1492,1.8341
2,2,2,1,19.81,10.249,4.7257,0.58369,12.183,6.887,3.4121,1.7662,0.78435,2.0768,1.1777,5.131,2.2606,1.1903,5.0506,1.3411,0.26482,6.1241,3.1368,3.3184,1.3828,0.79949,1.8036,1.8592,0.60613,2.0757
3,2,2,1,23.434,7.6789,3.6058,0.32264,14.572,5.2883,3.034,0.9899,0.44343,1.8712,0.67354,4.6309,2.0575,0.68296,7.1957,0.76275,0.15349,8.8487,2.8684,3.0633,1.2753,0.46957,1.0498,2.7241,0.36126,1.9425
4,2,2,1,25.664,6.0907,2.8943,0.20124,16.07,4.2623,2.642,0.62289,0.28042,1.6431,0.42894,4.0715,1.8183,0.43599,8.7266,0.48441,0.098621,10.827,2.5426,2.7316,1.1365,0.30424,0.67636,3.3627,0.23627,1.7473
0,3,2,1,8.30E-29,27.349,7.1452,1.753,7.78E-29,16.454,2.38E-29,8.0735,2.1093,2.20E-29,4.8572,5.44E-29,1.41E-29,4.8572,2.26E-37,9.2957,0.63449,3.83E-37,5.06E-29,3.16E-29,1.31E-29,2.9222,11.185,1.68E-37,3.3645,3.00E-29
0.25,3,2,1,3.202,24.239,6.4618,1.368,3.0229,14.881,0.81839,6.3523,1.6801,0.76448,3.8967,1.8897,0.49455,3.9024,0.12587,7.377,0.51617,0.23378,1.7702,1.1203,0.46512,2.3958,9.0603,0.10869,2.7813,1.072
1,3,2,1,10.068,17.547,4.9022,0.70345,9.6523,11.293,1.8852,3.3273,0.90549,1.7928,2.1337,4.436,1.1932,2.145,1.2893,3.9403,0.29219,2.4405,4.231,2.7536,1.1423,1.3802,5.0743,1.1562,1.6327,2.6832
2,3,2,1,15.347,12.389,3.6014,0.34465,14.893,8.3002,2.0435,1.6548,0.46098,1.9712,1.0999,4.8839,1.3443,1.1099,3.0715,1.9913,0.15502,5.9033,4.7251,3.1495,1.3052,0.74275,2.6668,2.8394,0.89238,3.1143
3,3,2,1,18.396,9.4114,2.8037,0.19699,17.978,6.4649,1.8685,0.95436,0.26946,1.8175,0.64758,4.5082,1.2582,0.65525,4.4743,1.1594,0.092928,8.6779,4.3981,2.9746,1.2318,0.44905,1.5894,4.2116,0.54465,2.9672
4,3,2,1,20.323,7.5308,2.28,0.12549,19.951,5.2596,1.657,0.61148,0.17408,1.6204,0.42022,4.0228,1.1327,0.42606,5.509,0.74742,0.061027,10.747,3.9453,2.6936,1.1149,0.29652,1.0399,5.2461,0.3619,2.7021
0,4,2,1,4.93E-28,29.202,5.4289,1.0385,6.46E-28,17.568,1.10E-28,6.7211,1.2495,1.43E-28,4.0436,3.55E-28,6.51E-29,4.0436,1.12E-32,10.875,0.37587,2.88E-32,4.63E-28,2.07E-28,8.54E-29,2.4327,13.085,2.02E-32,3.9362,2.75E-28
0.25,4,2,1,2.5201,26.062,4.9543,0.82366,3.317,15.989,0.50565,5.3595,1.0107,0.66124,3.2856,1.6389,0.30491,3.2896,0.079705,8.7205,0.31027,0.20742,2.1474,0.97219,0.40186,2.0181,10.702,0.13506,3.2827,1.3
1,4,2,1,8.0453,19.19,3.842,0.44092,10.697,12.327,1.2015,2.9042,0.56616,1.5896,1.8591,3.9425,0.75773,1.8674,0.83507,4.787,0.18225,2.2004,5.2268,2.4454,1.0101,1.199,6.1504,1.4506,1.9743,3.3089
2,4,2,1,12.432,13.756,2.8787,0.22392,16.663,9.195,1.3404,1.4899,0.29855,1.7902,0.98834,4.444,0.87803,0.99591,2.034,2.4825,0.10009,5.4146,5.948,2.8624,1.1814,0.66474,3.315,3.6061,1.106,3.9111
3,4,2,1,15.033,10.55,2.2696,0.13086,20.248,7.2311,1.2486,0.87613,0.17844,1.6769,0.59355,4.1662,0.83718,0.59949,3.008,1.4695,0.061352,8.0573,5.6077,2.7461,1.1327,0.40984,2.0088,5.3991,0.68635,3.7745
4,4,2,1,16.708,8.4942,1.8613,0.08457,22.573,5.9211,1.121,0.56847,0.11696,1.5111,0.39022,3.7566,0.76322,0.39483,3.7425,0.95758,0.040892,10.065,5.0747,2.5136,1.0364,0.27421,1.3289,6.7718,0.46122,3.4684
0,0,3,1,1.00E-21,-2.14E-19,38.193,16.552,-2.32E-42,-1.99E-19,8.08E-22,-1.73E-19,30.866,-1.70E-42,-1.61E-19,-4.08E-42,7.53E-22,-1.61E-19,-2.49E-30,4.32E-40,14.389,2.03E-50,3.75E-62,-3.70E-42,-1.58E-42,-1.50E-19,8.17E-40,8.19E-62,3.76E-40,1.88E-62
0.25,0,3,1,8.9229,-1.15E-16,32.332,11.979,-1.33E-17,-1.09E-16,6.2932,-8.06E-17,22.804,-8.56E-18,-7.67E-17,-2.05E-17,5.9899,-7.68E-17,0.82653,1.36E-34,10.852,-2.24E-18,2.84E-35,-1.90E-17,-8.10E-18,-7.31E-17,2.59E-34,1.52E-36,1.23E-34,2.67E-35
1,0,3,1,25.978,-1.64E-17,20.96,5.0784,-8.65E-18,-1.62E-17,12.549,-7.83E-18,10.125,-3.91E-18,-7.77E-18,-9.43E-18,12.51,-7.82E-18,7.7527,3.04E-36,5.0468,-4.81E-18,2.99E-36,-9.12E-18,-3.88E-18,-7.78E-18,6.06E-36,7.50E-37,3.02E-36,2.94E-36
2,0,3,1,36.972,0,13.465,2.0918,0,0,11.861,0,4.3197,0,0,0,12.247,0,16.813,0,2.2302,0,0,0,0,0,0,0,0,0
3,0,3,1,42.444,0,9.6797,1.0767,0,0,9.9393,0,2.2668,0,0,0,10.463,0,22.938,0,1.193,0,0,0,0,0,0,0,0,0
4,0,3,1,45.584,0,7.488,0.64223,0,0,8.3273,0,1.3679,0,0,0,8.8683,0,26.994,0,0.72839,0,0,0,0,0,0,0,0,0
0,0.25,3,1,8.17E-16,4.581,32.17,12.309,4.76E-17,4.2712,5.78E-16,3.2685,22.953,3.10E-17,3.0474,7.45E-17,5.38E-16,3.0474,6.85E-33,0.21697,10.7,7.30E-34,4.05E-18,6.75E-17,2.87E-17,2.8414,0.4046,1.96E-35,0.18862,3.75E-18
0.25,0.25,3,1,7.8684,3.9715,27.524,9.0034,0.46955,3.7706,4.8679,2.468,17.13,0.26959,2.3456,0.64904,4.6215,2.3492,0.66393,0.16943,8.1483,0.073062,0.036464,0.59958,0.25508,2.2338,0.32237,0.0020216,0.15332,0.034338
1,0.25,3,1,23.153,2.7293,18.339,3.9424,1.4593,2.6992,9.9175,1.1618,7.846,0.59073,1.1515,1.4296,9.844,1.1588,6.2784,0.086166,3.905,0.74415,0.086357,1.3776,0.58526,1.1512,0.17151,0.022167,0.085309,0.084933
2,0.25,3,1,33.327,1.845,12.087,1.6771,2.1946,1.8843,9.6011,0.52381,3.4555,0.60628,0.53536,1.4755,9.8641,0.54174,13.801,0.04134,1.7813,1.7369,0.094425,1.4678,0.62243,0.55637,0.08519,0.054903,0.043869,0.096021
3,0.25,3,1,38.553,1.3666,8.8234,0.88081,2.6034,1.4218,8.1774,0.2846,1.8501,0.53414,0.29549,1.3053,8.5652,0.30032,19.036,0.023282,0.97277,2.4807,0.086337,1.321,0.5594,0.31409,0.048897,0.081159,0.025673,0.089431
4,0.25,3,1,41.617,1.0769,6.8908,0.53209,2.8548,1.1335,6.9251,0.17569,1.1308,0.46209,0.18398,1.1327,7.3402,0.18765,22.581,0.014698,0.60182,3.008,0.076469,1.1579,0.48988,0.19838,0.031219,0.10056,0.016587,0.080096
0,1,3,1,0,13.529,20.412,5.4669,0,12.615,0,6.7573,10.195,0,6.3005,0,0,6.3005,0,2.088,4.7528,0,0,0,0,5.8746,3.8938,0,1.8153,0
0.25,1,3,1,5.5679,11.893,17.948,4.1355,1.4854,11.279,2.3927,5.2212,7.8559,0.61038,4.9538,1.4826,2.2564,4.962,0.35558,1.6503,3.7317,0.17988,0.38188,1.3649,0.57585,4.7109,3.1349,0.02284,1.4884,0.35848
1,1,3,1,16.905,8.4705,12.802,1.981,4.6805,8.3536,5.1999,2.6233,3.9241,1.3912,2.587,3.3907,5.1071,2.6036,3.4801,0.87272,1.9456,1.8498,0.91594,3.2467,1.3681,2.575,1.729,0.2467,0.85565,0.89508
2,1,3,1,25.075,5.9148,8.9606,0.91682,7.1493,6.0257,5.373,1.2616,1.8778,1.4929,1.2818,3.6534,5.4535,1.2965,7.9761,0.43742,0.96408,4.411,1.0247,3.6093,1.5181,1.3251,0.89629,0.61185,0.45869,1.0344
3,1,3,1,29.581,4.4682,6.7827,0.50724,8.5794,4.6431,4.7762,0.71408,1.0591,1.3569,0.73751,3.3309,4.9427,0.74874,11.347,0.25368,0.55509,6.4236,0.95483,3.3503,1.4072,0.78006,0.53002,0.91182,0.27666,0.9823
4,1,3,1,32.358,3.5644,5.4194,0.31662,9.4869,3.7526,4.1601,0.45237,0.669,1.1988,0.47171,2.9497,4.3585,0.48026,13.756,0.16322,0.3553,7.9054,0.85725,3,1.2589,0.50641,0.34513,1.1388,0.18243,0.89253
0,2,3,1,0,19.352,12.759,2.2902,0,18.044,0,6.4776,4.2707,0,6.0397,0,0,6.0397,0,4.5804,1.991,0,0,0,0,5.6315,8.5415,0,3.9821,0
0.25,2,3,1,3.8126,17.252,11.498,1.7953,2.255,16.344,1.1007,5.1392,3.4052,0.63596,4.8686,1.5575,1.0319,4.8763,0.17498,3.6812,1.6154,0.20044,0.90527,1.4308,0.59836,4.6229,6.9824,0.057548,3.31,0.8479
1,2,3,1,11.954,12.714,8.6927,0.94002,7.2237,12.503,2.5605,2.7652,1.8538,1.5193,2.7158,3.7285,2.492,2.7315,1.791,2.0399,0.91569,2.1106,2.2259,3.5535,1.4846,2.691,4.0242,0.62327,1.9826,2.1642
2,2,3,1,18.257,9.1504,6.3985,0.47112,11.224,9.2945,2.82,1.4174,0.95938,1.7097,1.4333,4.2067,2.8324,1.4477,4.298,1.0715,0.49043,5.1838,2.5661,4.134,1.7245,1.473,2.1841,1.5664,1.1115,2.5748
3,2,3,1,21.951,7.0436,4.9966,0.27375,13.635,7.3037,2.6119,0.83498,0.56818,1.6043,0.85876,3.9556,2.6747,0.87005,6.3124,0.6407,0.29668,7.7215,2.4442,3.9598,1.6501,0.90302,1.3319,2.3658,0.69151,2.5002
4,2,3,1,24.319,5.6872,4.0738,0.1764,15.207,5.9803,2.3384,0.54295,0.37057,1.4485,0.56425,3.5774,2.4252,0.573,7.8256,0.42067,0.19622,9.6615,2.2289,3.6243,1.5091,0.60245,0.88562,2.9873,0.46585,2.3088
0,3,3,1,4.75E-28,22.216,8.9953,1.1802,4.47E-28,20.714,1.12E-28,5.4356,2.2009,1.04E-28,5.0681,2.55E-28,1.03E-28,5.0681,-1.20E-34,6.2584,1.0261,-2.23E-34,2.38E-28,2.31E-28,9.58E-29,4.7255,11.671,-1.19E-34,5.4409,2.19E-28
0.25,3,3,1,2.8309,19.986,8.2184,0.94658,2.6822,18.921,0.60137,4.3913,1.7936,0.56229,4.1565,1.3844,0.56182,4.1621,0.099193,5.0958,0.85007,0.18405,1.2996,1.2711,0.52823,3.9423,9.6563,0.085517,4.573,1.2161
1,3,3,1,9.0652,15.056,6.4201,0.52434,8.7018,14.777,1.4618,2.4734,1.031,1.3887,2.4235,3.4236,1.4151,2.4355,1.0482,2.9227,0.5079,1.9788,3.266,3.2564,1.352,2.3933,5.7497,0.93535,2.8247,3.1671
2,3,3,1,14.111,11.054,4.8656,0.27642,13.691,11.202,1.6773,1.3224,0.56069,1.6146,1.3337,3.9873,1.6743,1.345,2.5957,1.5871,0.28568,4.9718,3.8545,3.9086,1.621,1.3645,3.2236,2.3841,1.6346,3.8545
3,3,3,1,17.18,8.6171,3.8717,0.16582,16.779,8.917,1.5959,0.80038,0.3428,1.5488,0.82126,3.8303,1.6241,0.83041,3.896,0.96992,0.17843,7.5301,3.7328,3.8258,1.5853,0.85948,2.0094,3.6432,1.0394,3.8057
4,3,3,1,19.198,7.0164,3.197,0.10912,18.831,7.3661,1.4551,0.52983,0.22835,1.4198,0.54962,3.5154,1.5,0.55685,4.9045,0.6462,0.12058,9.5365,3.444,3.555,1.4722,0.58411,1.3562,4.6413,0.71096,3.5568
0,4,3,1,0,23.835,6.8675,0.70252,0,22.224,0,4.5468,1.3101,0,4.2395,0,0,4.2395,0,7.3569,0.61076,0,0,0,0,3.9529,13.719,0,6.3959,0
0.25,4,3,1,2.2297,21.57,6.3235,0.57168,2.9423,20.41,0.37174,3.7176,1.0825,0.48665,3.5169,1.2023,0.34663,3.521,0.062671,6.046,0.51269,0.16297,1.5784,1.1044,0.45679,3.333,11.45,0.10607,5.4188,1.4766
1,4,3,1,7.2383,16.486,5.0347,0.32824,9.6333,16.157,0.9294,2.1582,0.6441,1.2293,2.1117,3.0398,0.89696,2.1205,0.67647,3.5525,0.31669,1.7792,4.0325,2.8894,1.1942,2.0802,6.9754,1.1712,3.4203,3.9048
2,4,3,1,11.409,12.265,3.8836,0.17882,15.293,12.407,1.0952,1.187,0.36175,1.4612,1.1952,3.6176,1.0892,1.2037,1.7108,1.9745,0.18384,4.5435,4.8411,3.5424,1.4628,1.2185,4.0006,3.0196,2.0234,4.8316
3,4,3,1,14.009,9.6451,3.1269,0.10957,18.861,9.9632,1.0609,0.7318,0.2259,1.423,0.74987,3.5268,1.0755,0.75694,2.606,1.2255,0.11728,6.9635,4.7453,3.5194,1.4523,0.78178,2.5326,4.6561,1.3067,4.8284
4,4,3,1,15.747,7.9002,2.6031,0.073142,21.263,8.2808,0.97928,0.49049,0.15265,1.3184,0.50831,3.2702,1.0058,0.51399,3.3151,0.82511,0.080415,8.8955,4.4158,3.3049,1.3632,0.53814,1.7277,5.9724,0.90353,4.5522
0,0,4,1,-9.31E-16,6.92E-17,41.772,11.261,-8.89E-34,8.82E-17,-6.39E-16,4.75E-17,28.691,-5.46E-34,6.06E-17,-1.30E-33,-8.15E-16,6.06E-17,3.65E-31,5.02E-35,18.276,1.49E-49,-1.13E-51,-1.61E-33,-6.91E-34,7.72E-17,1.28E-34,9.18E-59,8.15E-35,-1.43E-51
0.25,0,4,1,7.8432,3.46E-17,36.092,8.4437,4.34E-18,4.47E-17,4.7536,2.09E-17,21.874,2.37E-18,2.70E-17,5.66E-18,6.1574,2.71E-17,0.66904,1.29E-35,14.167,6.65E-19,2.89E-36,7.16E-18,3.06E-18,3.50E-17,3.35E-35,1.66E-37,2.17E-35,3.71E-36
1,0,4,1,23.573,0,24.568,3.9258,0,0,10.129,0,10.556,0,0,0,13.618,0,6.5332,0,7.0964,0,0,0,0,0,0,0,0,0
2,0,4,1,34.491,0,16.455,1.7552,0,0,10.187,0,4.8603,0,0,0,14.105,0,14.782,0,3.3646,0,0,0,0,0,0,0,0,0
3,0,4,1,40.268,0,12.115,0.94794,0,0,8.8719,0,2.6692,0,0,0,12.491,0,20.758,0,1.879,0,0,0,0,0,0,0,0,0
4,0,4,1,43.716,0,9.509,0.58222,0,0,7.6161,0,1.6566,0,0,0,10.835,0,24.907,0,1.1784,0,0,0,0,0,0,0,0,0
0,0.25,4,1,-2.96E-16,3.7015,35.516,8.4497,-1.75E-17,4.7157,-1.78E-16,2.2439,21.53,-9.55E-18,2.8587,-2.28E-17,-2.26E-16,2.8587,9.46E-34,0.14897,13.714,1.01E-34,-1.25E-18,-2.83E-17,-1.21E-17,3.6419,0.37957,2.71E-36,0.24178,-1.57E-18
0.25,0.25,4,1,6.9494,3.2727,30.939,6.3938,0.41898,4.2281,3.6906,1.7476,16.555,0.204,2.2607,0.48821,4.7696,2.2641,0.53831,0.11967,10.717,0.059089,0.027465,0.61609,0.26263,2.93,0.30987,0.0016329,0.20057,0.03525
1,0.25,4,1,21.045,2.3607,21.551,3.0543,1.3308,3.1486,8.0053,0.89228,8.2009,0.47325,1.1938,1.1388,10.722,1.2009,5.2879,0.06566,5.5065,0.62166,0.06849,1.4859,0.63244,1.6099,0.17636,0.018388,0.11835,0.091002
